"['entropy ramsey graphs', 'ramsey graphs entropy', 'ramsey bipartite graphs', 'bipartite ramsey graphs', 'entropy ramsey', 'ramsey graphs frankl', 'extractors entropy note', 'extractors entropy', 'source extractors entropy', 'ordinary ramsey graphs']"
"['testing database systems', 'database tests semantics', 'testing database applications', 'database test cases', 'intensional database tests', 'database testing', 'designed testing database', 'database tests specified', 'database testing based', 'test databases']"
"['handover mobile station', 'handover measurement data', 'handover mobile', 'analysis soft handover', 'handover measurements groups', 'handover occur signal', 'analysis mobile networks', 'handover concept measurements', 'gsm networks', 'mobile networks']"
"['programming aspect oriented', 'aspect oriented software', 'aspect oriented programming', 'oriented programming component', 'programming component based', 'aspect oriented paradigm', 'oriented programming aspect', 'component based web', 'aspect oop implementation', 'programming aspect']"
"['attack resilient aggregation', 'aggregation sensor networks', 'attacks augmenting aggregation', 'compromised nodes aggregation', 'sensor network adversary', 'aggregation query attacks', 'resilient aggregation algorithms', 'aggregate attack approach', 'aggregation algorithms guard', 'network data aggregation']"
"['event multimodal information', 'presentation multimodal information', 'automated rich presentation', 'multimodal information retrieval', 'multimedia content analysis', 'multimodal information extraction', 'multimodal information multimedia', 'presentation semantic topic', 'presentation multimodal', 'event multimodal']"
"['database security course', 'course database security', 'database security courses', 'courses database security', 'study database security', 'introducing database security', 'database security topics', 'developing database security', 'offering database security', 'database security basics']"
"['titles extractions', 'automatic extraction titles', 'automatic title extraction', 'successful title extraction', 'best title extraction', 'reliable title extraction', 'title extraction', 'title extraction use', 'title extraction research', 'title extraction suggesting']"
"['sensor node intrusion', 'recovering sensor nodes', 'recover nodes intrusion', 'detection node recovery', 'attacks sensor networks', 'distributed node recovery', 'algorithms node recovery', 'sensor network nodes', 'detection misbehaving nodes', 'communicating sensor nodes']"
"['bayesian online classifiers', 'filtering text classification', 'text classification filtering', 'online classifiers text', 'classification filtering text', 'documents bayesian classifiers', 'classifiers text classification', 'classifiers classify text', 'online classifiers classify', 'online classifiers']"
"['better pagerank', 'pagerank features', 'effective pagerank', 'pagerank machine', 'pagerank', 'features pagerank', 'worse pagerank', 'ranking web pages', 'pagerank domain features', 'based pagerank']"
"['constructions secure computation', 'general secure computation', 'secure computation', 'known secure computation', 'protocols secure computation', 'computation secure', 'definitions secure computation', 'computation secure presence', 'cryptographic primitives require', 'homomorphic encryption schemes']"
"['bluetooth dynamic scheduling', 'scheduling bluetooth', 'aware scheduling bluetooth', 'interference aware scheduling', 'bluetooth performance interference', 'bluetooth packet loss', 'bluetooth interference aware', 'bluetooth wlan packets', 'bluetooth performance', 'bluetooth interference environment']"
"['crawling web characterization', 'performance web crawling', 'effectiveness crawling breadth', 'efficient crawling', 'search crawling yields', 'web crawling', 'effectiveness crawling', 'search crawling', 'crawling web', 'crawled pagerank']"
"['broadcast messages people', 'names personal messages', 'broadcast information contacts', 'names broadcast messages', 'instant messaging', 'messenger participants', 'messaging systems person', 'information im contacts', 'use im names', 'messaging systems']"
"['library history web', 'archive web', 'internet archive', 'library studying web', 'historical web data', 'web research', 'researchers carrying web', 'using historical web', 'research history web', 'historical web']"
"['histories women computing', 'women computing history', 'history women computing', 'women computing curriculum', 'women computing educators', 'women computing education', 'women histories computing', 'women history computing', 'gender computing education', 'early women computing']"
"['technology dependable computing', 'dependable computing', 'quantum computing architectures', 'nano computing', 'quantum computational devices', 'dependable computing systems', 'quantum computational device', 'vital quantum computing', 'age nano computing', 'quantum computing']"
"['sustainable community information', 'sustainability computerized community', 'community information systems', 'sustain community information', 'developing community information', 'making community information', 'computerized community', 'information community', 'systems community information', 'computerized community information']"
"['machine learning security', 'machine learning attacker', 'security machine learning', 'attacks machine learning', 'learning intrusion targets', 'learning intrusion', 'attacks learning', 'include attacks learning', 'targets learning intrusion', 'learning techniques intrusion']"
"['information retrieval drawing', 'drawings information retrieval', 'retrieval drawing', 'user drawing manipulations', 'recognition user drawings', 'user drawings', 'retrieval sketch manipulations', 'information drawing manipulations', 'information retrieval pen', 'systems user drawing']"
"['bytewise compressed indexes', 'faster uncompressed index', 'performance compressed index', 'bytewise compressed index', 'retrieval systems compression', 'suitable index compression', 'disadvantage bytewise compressed', 'access index compression', 'compressed indexes', 'index compression schemes']"
"['databases enforce consistency', 'integrity constraints databases', 'inconsistent relational databases', 'constraints databases enforce', 'queries denial integrity', 'notion consistent query', 'integrity constraints database', 'consistency ground queries', 'corresponding conflicts database', 'consistency occurrence integrity']"
"['applicability consistent query', 'consistent query answering', 'semantics consistent query', 'databases consistent answers', 'conjunctive queries databases', 'answering relational databases', 'characterizations consistent query', 'tractability consistent query', 'technique consistent query', 'constraints query languages']"
"['usability web information', 'increasing usability web', 'usability web', 'context aware web', 'web systems introduces', 'web information systems', 'discussing banking web', 'systems web information', 'web services understanding', 'services understanding web']"
"['partial object recognition', 'symmetry image databases', 'recognition using symmetry', 'occluded objects recognition', 'recognize partial objects', 'objects image retrieval', 'portion objects recognition', 'contours objects recognizing', 'recognition occluded object', 'matching object recognition']"
"['categorical clustering algorithms', 'algorithm categorical clustering', 'categorical clustering notion', 'categorical clustering', 'clustering categorical data', 'clustering categorical', 'cluster categorical data', 'clustering categorical records', 'treats categorical clustering', 'cluster categorical']"
"['cohesion measures reusability', 'reusability java components', 'dependencies incorporated metrics', 'reusability java', 'incorporated metrics cohesion', 'researches software metrics', 'metrics predict maintainability', 'assess reusability', 'software reusability', 'software metrics']"
"['distributed 3d graphics', 'distributed interactive applications', 'distributed objects programming', 'graphics libraries objects', 'programmer viewpoint objects', 'interactive graphical applications', 'graphics distributed components', 'distributed graphics', 'distributed programming language', 'graphics data structures']"
"['navigational query identification', 'web search boost', 'query identification features', 'identifying navigational queries', 'query classification', 'identify navigational queries', 'features navigational query', 'features navigational', 'navigational queries web', 'feature navigational query']"
"['functional verification coverage', 'generation functional verification', 'design bayesian network', 'simulation dynamic verification', 'design bayesian', 'directed test generation', 'test generation known', 'verification simulation', 'verification coverage', 'test case generators']"
"['book indexes', 'books indexes presented', 'said book indexes', 'documentation little indexing', 'index printed book', 'content analysis indexing', 'individual books indexes', 'books indexes', 'indexing style books', 'individual book indexes']"
"['metrics boolean classification', 'classification performance metrics', 'boolean classification performance', 'roc curve metrics', 'metrics appropriate predictions', 'boolean classification accuracy', 'metrics roc', 'metrics used training', 'decision metric', 'metric performance metrics']"
"['database security curriculum', 'database security course', 'teaching database security', 'database security topics', 'security database', 'database security concepts', 'security needs database', 'concepts database security', 'learning database security', 'database security book']"
"['routing bluetooth scatternet', 'dbblue bluetooth scatternet', 'routing bluetooth', 'bluetooth scatternet abstract', 'dbblue scatternet route', 'nodes scatternet slaves', 'dbblue scatternet construction', 'slave nodes scatternet', 'bluetooth scatternet', 'bluetooth scatternet bridge']"
"['commerce statistics countries', 'commerce developed countries', 'commerce statistical country', 'commerce statistics development', 'countries commerce commerce', 'informationization country', 'development informationization country', 'countries overview commerce', 'countries make commerce', 'commerce statistics world']"
"['information systems structuration', 'information systems shaped', 'information systems paradigm', 'information design use', 'community information systems', 'use information systems', 'information systems used', 'information design', 'information design case', 'information design community']"
"['detect tcp failures', 'diagnosis tcp overlay', 'diagnosing tcp overlay', 'tcp failures based', 'learning tcp failure', 'tcp failures infer', 'collecting tcp failure', 'tcp failure data', 'probability tcp failures', 'collect tcp failure']"
"['digital assets xml', 'metadata digital assets', 'digital assets database', 'database digital assets', 'assets described xml', 'structured digital assets', 'xml database designed', 'asset storage xml', 'xml database enterprises', 'digital content xml']"
"['slaves bluetooth scatternets', 'scatternet scheduling scheme', 'bluetooth scatternets', 'scatternet scheduling', 'distributed scatternet scheduling', 'bandwidth bluetooth', 'scatternet scheduling gateways', 'coordinated scatternet scheduling', 'scheduling scatternet', 'bandwidth bluetooth unit']"
"['topic directoryrank', 'page directoryrank', 'directoryrank main topics', 'ranking pages topic', 'topic directoryrank metric', 'directoryrank useful topic', 'directoryrank order web', 'informative pagerank', 'directoryrank topic', 'measures ranking pages']"
"['service discovery ranking', 'web service discovery', 'biased service discovery', 'ranking web services', 'service discovery evaluation', 'discovering relevant services', 'web services ranking', 'ranking relevant services', 'based service discovery', 'relevance source service']"
"['descriptors retrieval applications', 'descriptors retrieval', 'basic descriptors retrieval', 'descriptors distance measurement', 'visual information retrieval', 'descriptors distance', 'descriptors recommended distance', 'retrieval visual', 'distance measures descriptor', 'retrieval information']"
"['regard robots dogs', 'dog vs robot', 'robots dogs', 'robotic dogs', 'dogs robots children', 'robot dogs', 'regard robots', 'robots robotic dogs', 'dogs robots', 'noun dog robot']"
"['web hidden search', 'web crawling', 'effective hidden web', 'search hidden web', 'web crawler simplicity', 'hidden web search', 'hidden web crawler', 'frequent hidden web', 'crawler generate query', 'queries crawler']"
"['java language extension', 'aspectj language programmer', 'aspectj language compiler', 'java language extensions', 'extension java language', 'java language features', 'aspectj extension java', 'aspectj language', 'aspectj programs meta', 'aspectj programs']"
"['studied query logs', 'query logs studied', 'query log analysis', 'daily query traffic', 'overall query traffic', 'trends categorized queries', 'query logs distinguishes', 'available query logs', 'analysis query frequency', 'web query logs']"
"['discriminative text classification', 'text categorization methods', 'text categorization classification', 'class text categorization', 'text categorization achieve', 'text categorization', 'text categorization tasks', 'automatic text categorization', 'class text classification', 'techniques text categorization']"
"['file phrase queries', 'indexes efficient phrases', 'fast nextword indexes', 'large index phrases', 'efficient phrase querying', 'index phrase browsing', 'nextword index processing', 'file phrase query', 'phrase oriented indexes', 'techniques nextword indexes']"
"['retrieval similar shapes', 'fast retrieval objects', 'shapes andprocessing similarity', 'similarity queries shape', 'retrieval similar', 'indexing shapes', 'records matching shapes', 'similarity retrieval', 'shapes measure similarity', 'similar shapes descriptors']"
"['voxelization computers graphics', 'triangle voxelization graphics', '3d slicer voxelization', 'volumetric graphics voxelization', 'graphics voxelization', 'geometry rendering voxelization', 'voxelization using graphics', 'efficient surface voxelization', 'surface voxelization slice', 'voxelization graphics']"
"['rdf semantic', 'notions rdf data', 'semantic query capabilities', 'rdf formalization', 'rdf schemas', 'querying semantic', 'formalization rdf data', 'rdf schema', 'semantic querying', 'formalization rdf']"
"['query based memory', 'memory database queries', 'query memory banks', 'memory friendly database', 'consumption query memory', 'query optimizer memory', 'memory resident databases', 'memory resident dbms', 'query memory', 'memory energy query']"
"['spark security programs', 'specification security safety', 'specification security', 'spark security', 'safety integrity analysis', 'integrity flows subprogram', 'information flow integrity', 'semantics based security', 'security level flow', 'flow security information']"
"['entropy self organization', 'agent self organization', 'entropy coordination', 'measures entropy coordination', 'entropy self', 'organization concomitant entropy', 'entropy macro agent', 'self organization mechanisms', 'behavior entropy', 'agent coordination']"
"['location entropy sensing', 'sensor selection localization', 'location entropy sensor', 'sensors selection entropy', 'sensor entropy based', 'target location entropy', 'sensor selection heuristic', 'informative sensor entropy', 'sensor informative entropy', 'localization entropy based']"
"['global pageranks', 'global pageranks care', 'global pagerank', 'global pagerank estimate', 'global pagerank crawl', 'global pagerank web', 'pageranks entire web', 'local pageranks', 'pagerank web communities', 'pagerank crawl']"
"['measures similarity recommending', 'recommendations produced similarity', 'recommending online communities', 'similarity recommending', 'recommending communities', 'measure similarity recommender', 'community recommendation base', 'similarity recommender', 'recommendations communities', 'recommendation base community']"
"['helpful searching browsing', 'simple searching browsing', 'browse search interface', 'browsing searching', 'www search interface', 'browsing searching functions', 'traditional search interfaces', 'results browsing interaction', 'search interface describes', 'searching browsing examples']"
"['identifying topics events', 'events dependencies news', 'topic event models', 'news topic event', 'modeling news topics', 'threading events news', 'event threading news', 'dependencies news topic', 'threading news topics', 'identifying events topic']"
"['learning kernels optimization', 'optimization svms', 'evolutionary learning kernels', 'evolutionary svms', 'evolutionary svm', 'optimization statistical learning', 'optimization kernel', 'evolutionary svm variants', 'kernels optimization', 'optimization kernel matrix']"
"['object based middleware', 'extensible object middleware', 'flexible middleware infrastructure', 'object middleware design', 'approaches flexible middleware', 'object middleware', 'object corba middleware', 'approach middleware extensibility', 'implementation middleware', 'based middleware implementation']"
"['interact robot fan', 'fan human robot', 'robot task effectiveness', 'robots task saturation', 'interaction effort robot', 'robots user interface', 'fan robot activity', 'measure robot activity', 'robot activity time', 'computing robots perform']"
"['fast sort compressed', 'compression sorting strings', 'fast string sorting', 'compression sorting algorithms', 'compression sorting word', 'compression sorting', 'ram string sorting', 'string sorting algorithms', 'order compression techniques', 'sort compressed']"
"['fbram pixel write', 'buffer fbram vram', 'fbram vram', 'fbram video buffers', 'vram fbram', 'buffers constructed vram', 'buffers unlike vram', 'ram fbram', 'vram frame buffers', 'specialized memory frame']"
"['named entity recognition', 'entity recognition focused', 'entity recognition news', 'recognition named entity', 'entity recognition', 'text categorization entity', 'entity recognition named', 'entity recognition techniques', 'entities corpus', 'entity recognition using']"
"['functional stg language', 'haskell compiler', 'haskell language', 'imperative stg machine', 'description haskell language', 'sestoft language semantics', 'constructions sestoft semantics', 'compilers logics', 'sestoft operational semantics', 'stg machine constructions']"
"['web query classification', 'query classification classify', 'query classification', 'categories query classification', 'query classification aim', 'classifier query classification', 'used query classification', 'query classification methods', 'query classification task', 'data query classification']"
"['collaborative crawling', 'collaborative crawler crawling', 'efficient crawling', 'focused collaborative crawler', 'crawling strategies', 'performance crawling strategies', 'collaborative crawling strategies', 'collaborative crawling approach', 'collaborative crawling strategy', 'based collaborative crawling']"
"['3d graphics benchmarks', '3d graphics benchmark', 'mobile 3d graphics', '3d graphics architectures', '3d graphics benchmarking', 'graphics benchmark suite', 'graphics benchmarking described', '3d benchmarks employed', 'embedded 3d graphics', 'graphics benchmark suites']"
"['handoff 3g networks', 'handoff 3g', '3g vertical handoff', 'handoff wlan', 'handoff wlans', 'vertical handoff wlans', 'mt handoff 3g', 'handoff wireless', 'wlan vertical handoffs', 'network vertical handoff']"
