"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers', 'grid service']"
"['openness virtual organizations', 'virtual organization', 'virtual organizations realised', 'virtual organizations', 'concerns virtual organization', 'different virtual organizations', 'virtual organizations achieved', 'def virtual organization', 'introduction virtual organizations', 'organizations virtual organizations']"
"['agents norms', 'agent norms', 'agents norms artificial', 'distributed enforcement norms', 'norm obligation agent', 'autonomous agents norms', 'norm aware agent', 'regulated multi agent', 'local agent norms', 'agent systems distributed']"
"['learning systems agents', 'learning algorithm agent', 'agentbased data mining', 'distributed learning architectures', 'distributed machine learning', 'learning agent', 'learning agents', 'learning agents systems', 'learning agents framework', 'machine approach agents']"
"['combinatorial auction algorithms', 'pause auction algorithms', 'algorithms combinatorial auctions', 'combinatorial auctions coordination', 'auction algorithms', 'combinatorial auction bidders', 'combinatorial auctions auction', 'combinatorial auction assumes', 'determination combinatorial auction', 'determination combinatorial auctions']"
"['negotiations multiple agents', 'individual agent negotiation', 'negotiation strategies agents', 'agent negotiation chain', 'agent global negotiation', 'agents negotiation chain', 'negotiation agent negotiation', 'singleagent concurrent negotiation', 'negotiation phase agents', 'negotiation outcome agents']"
"['distributed pseudotree optimization', 'pseudotree generation heuristics', 'pseudotrees heuristic', 'pseudotree heuristic heuristics', 'pseudotree heuristic', 'pseudotree common heuristic', 'heuristics better pseudotrees', 'produce pseudotrees heuristic', 'pseudotree optimization', 'edged pseudotree heuristic']"
"['probabilistic planning', 'planning stochastic environments', 'planning stochastic', 'approach planning control', 'markov tracking application', 'planning control agent', 'planning control', 'planning control approach', 'control markovian environment', 'markov decision processes']"
"['commitment machines language', 'agent programming language', 'agent interactions commitment', 'commitments agents', 'commitment machine framework', 'commitment machines framework', 'commitment machine implementations', 'agent programming languages', 'bdi agent programming', 'enhancing commitment machines']"
"['temporal logic specifications', 'temporal logics', 'temporal logic', 'languages models logics', 'temporal logic ictl', 'temporal strategic logics', 'time temporal logic', 'ctl temporal logics', 'reasoning agents', 'modeling formalism logic']"
"['agent programming languages', 'agent architectures languages', 'agent oriented software', 'semantics multiagent interactions', 'agent programming', 'multi agent programming', 'agent architectures', 'agents software components', 'agent platform architecture', 'semantics agent communication']"
"['normative systems agents', 'normative systems games', 'normative systems game', 'logic normative systems', 'agent goal hierarchy', 'properties normative games', 'game normative game', 'normative agent', 'normative game', 'agent hierarchy goal']"
"['multi issue negotiation', 'multilateral negotiation problem', 'multilateral negotiation negotiation', 'multi issue negotiations', 'based multiagent negotiation', 'multilateral negotiation', 'multiagent negotiation', 'multiagent negotiation strategy', 'multilateral negotiation setting', 'issue multilateral negotiation']"
"['distributed multiagent computing', 'distributed multiagent systems', 'distributed agents', 'agent distributed', 'distributed multiagent', 'distributed resource management', 'distributed resource allocation', 'multiagent computing', 'shared resource agents', 'agents multiagent systems']"
"['temporal logic', 'plausibility temporal framework', 'time temporal logic', 'epistemic temporal reasoning', 'logics time knowledge', 'notion plausibility logic', 'belief plausibility framework', 'ctl epistemic logic', 'temporal reasoning', 'logic ctlk plausibility']"
"['argumentation multi agent', 'agents argumentation process', 'argumentation agents', 'agents argumentation', 'argumentation process agents', 'learning communication argumentation', 'argumentation collaboration learning', 'argumentation committees agents', 'arguments agents', 'end argumentation agents']"
"['argumentation negotiation theory', 'based negotiation argumentation', 'negotiation like argumentation', 'argumentation negotiation dialogues', 'argumentation theory negotiation', 'negotiation argumentation', 'argumentation negotiation', 'argumentationbased negotiation dialogue', 'argumentationbased negotiation', 'argumentation negotiation process']"
"['complex voting games', 'shapley value voting', 'shapley value game', 'games polynomial time', 'games shapley value', 'voting game method', 'algorithm shapley', 'general voting games', 'computational complexity games', 'weighted voting game']"
"['multi issue negotiation', 'negotiation issue agents', 'individual issue negotiation', 'single issue negotiation', 'issue negotiation agents', 'negotiation indivisible issues', 'optimal negotiation', 'analogous negotiation problem', 'negotiating issue agents', 'optimal negotiation strategies']"
"['computerized negotiation', 'multi attribute negotiation', 'gains automated negotiations', 'negotiation analysis operations', 'decision negotiation', 'automated negotiation coalition', 'automated negotiation', 'minimizing negotiation', 'negotiation analysis', 'multi issue negotiation']"
"['distributed constraint satisfaction', 'shared constraints agents', 'automated negotiation negotiation', 'automated negotiation', 'constraint satisfaction framework', 'automated negotiation dcsp', 'automated negotiation multiagent', 'negotiation methods autonomous', 'constraint satisfaction approach', 'negotiation mechanisms']"
"['dimensional probabilistic trust', 'probabilistic trust', 'trust estimate agents', 'computational trust deals', 'computational trust models', 'probabilistic trust model', 'computational trust agent', 'multi dimensional trust', 'model computational trust', 'computational trust']"
"['optimal strategy security', 'mixed strategy adversaries', 'strategy adversaries', 'strategy security agent', 'security agent strategy', 'strategy security', 'simple strategies security', 'games uncertain adversaries', 'mixed strategy security', 'game theoretic problems']"
"['agent recommender systems', 'user agents privacy', 'agent recommender', 'multi agent recommender', 'collaborative filtering privacy', 'agents privacy', 'recommender functionality', 'information filter privacy', 'privacy details algorithms', 'information retrieval privacy']"
"['agent communication language', 'semantics agent communication', 'agent communication languages', 'semantics individual agents', 'agents mentalistic semantics', 'verifiable semantics agent', 'semantics agent', 'agent pairs semantics', 'agent communication', 'characterisation compliant agent']"
"['vehicular networks agents', 'agent vehicular networks', 'agents vehicular networks', 'agents cars network', 'vehicular networks', 'agents transportation networks', 'routes agents cars', 'vehicular networks using', 'context vehicular networks', 'interested vehicular networks']"
"['air traffic management', 'traffic flow agents', 'adaptive air traffic', 'management air traffic', 'model air traffic', 'complex air traffic', 'air traffic flow', 'traffic flow management', 'air traffic congestion', 'air traffic optimization']"
"['resources optimal allocation', 'optimal allocation resources', 'solving resource allocation', 'allocation problem resources', 'resource allocation problems', 'stochastic resource allocation', 'resource allocation problem', 'resource allocation task', 'approach resource allocation', 'simple resource allocation']"
"['scheduling multiagent mdps', 'scheduling problem agents', 'scheduling problems agents', 'scheduling multiagent', 'scheduling multiagent systems', 'resource scheduling agents', 'scheduling agents', 'combinatorial resource scheduling', 'scheduling problem formulation', 'optimal resource scheduling']"
"['organization self design', 'organizational structure agents', 'agents organizational design', 'organizational structures agents', 'organizational design multiagent', 'static organizational structure', 'organizational structures runtime', 'organizational primitives agent', 'approach organization agents', 'bespoke organizational structure']"
"['interactive pomdps generalize', 'interactive pomdps using', 'graphical representations pomdps', 'interactive pomdps', 'solutions interactive pomdps', 'analogous pomdps agent', 'computational representations pomdps', 'computational counterparts pomdps', 'analogous pomdps', 'pomdp framework']"
"['distributed pomdps', 'distributed pomdps synthesis', 'iteration decentralized pomdps', 'distributed pomdps set', 'pomdps algorithm', 'distributed pomdps paper', 'solving distributed pomdps', 'agents distributed pomdp', 'solutions distributed pomdps', 'distributed pomdp models']"
"['mdps heuristic solution', 'decentralized markov decision', 'decentralized mdp temporal', 'decentralized markov', 'algorithms dec mdps', 'mdp algorithms', 'decentralized mdps', 'dec mdp algorithm', 'mdp temporal constraints', 'alternative heuristics']"
"['extortionable conditional commitments', 'conditional commitments extortions', 'extortion conditional commitments', 'extortionable conditional commitment', 'commitments extortions', 'players actions commitments', 'conditional commitments players', 'assume commitments players', 'given commitments players', 'conditional commitments player']"
"['dynamic ontologies tool', 'mining ontologies', 'dynamo overview ontology', 'building dynamic ontologies', 'dynamic ontologies', 'dynamic ontology management', 'dynamic ontologies seen', 'hierarchical ontology', 'algorithm pruning ontologies', 'dynamic ontologies kévin']"
"['ontology matching mechanisms', 'alignment ontological entities', 'alignment ontological terminology', 'ontology matching', 'ontology alignment', 'need ontology matching', 'systems ontology matching', 'agents respective ontologies', 'ontology matching techniques', 'ontologies agents']"
"['similarity available services', 'semantic similarity services', 'preference learning requests', 'similarity services', 'based ontology negotiation', 'similarity consumer', 'ontology negotiation', 'semantics requests offers', 'ontology negotiate', 'service similar services']"
"['heterogeneous agent reputation', 'agent reputation models', 'agent reputation model', 'reputation models interoperability', 'reputation models agent', 'reputation model agent', 'reputation multi agents', 'reputation model ontology', 'ontology reputation models', 'interaction reputation agents']"
"['inter agent dialogues', 'dialogues agents', 'agent dialogues', 'relevance enforces dialogue', 'utterances dialogue relevance', 'dialogue relevance', 'dialogue argumentation', 'agents corresponding argumentation', 'absent dialogues agents', 'govern dialogues argument']"
"['agents protocol', 'consistency involved agents', 'reach consistency agents', 'mutual consistency agents', 'protocol situation agents', 'involve agents protocol', 'topological communication constraints', 'consistency agents', 'distributed agents', 'multi agent systems']"
"['abduction logic programming', 'proposals logic programming', 'negotiation logic programs', 'abduction artificial intelligence', 'computing proposals logic', 'abductive logic programming', 'proposals abductive logic', 'automated negotiation agents', 'logic multi agent', 'negotiating logic programs']"
"['negotiation encounters model', 'logic negotiation model', 'negotiation strategies', 'negotiation relationships', 'relationships negotiators', 'human negotiation modelling', 'achieve negotiation', 'negotiation model', 'negotiation modelling', 'human negotiation']"
"['protocol commitments agents', 'protocols agent reasoning', 'providing agents commitments', 'agent interactions protocols', 'reasoning interaction protocols', 'commitments agents', 'agents monitoring commitments', 'interactive actions commitments', 'agent interaction protocols', 'fulfill agents commitments']"
"['generalized trade reduction', 'trade reduction algorithms', 'trade reduction mechanism17', 'efficient auction mechanisms', 'trade reduction mechanisms', 'auction mechanisms', 'double auction mechanism', 'trade reduction', 'auction mechanisms supply', 'auction mechanism']"
"['web product reviews', 'online reviews automated', 'online feedback reporting', 'online product reviews', 'users textual reviews', 'rating behavior users', 'behavior online feedback', 'online product ratings', 'reporting online feedback', 'rating textual review']"
"['graph optimal trade', 'auction desirable equilibrium', 'monopolized agents sellers', 'graph sellers traders', 'equilibrium traders', 'free equilibrium traders', 'sellers pure equilibrium', 'graph buyers sellers', 'equilibrium trade', 'trading equilibrium']"
"['auctions item graphs', 'complexity combinatorial auctions', 'tractable combinatorial auctions', 'auction item graph', 'combinatorial auctions item', 'combinatorial auction item', 'auctions structured item', 'manageable combinatorial auctions', 'combinatorial auctions known', 'algorithm combinatorial auctions']"
"['theorem graphical games', 'nash equilibrium algorithms', 'theorem graphical game', 'algorithm graphical games', 'best nash equilibrium', 'equilibria graphical games', 'bounded payoff games', 'graphical games bounded', 'computing nash equilibria', 'computable nash equilibria']"
"['structured multiattribute auctions', 'auction additive preferences', 'practical multiattribute auctions', 'abstract multiattribute auction', 'multiattribute auctions', 'based multiattribute auction', 'multiattribute auction mechanisms', 'based auction multiattribute', 'multiattribute auctions multiattribute', 'multiattribute double auctions']"
"['scheduling makespan minimization', 'schedule makespan minimization', 'approximation mechanisms scheduling', 'bound scheduling mechanisms', 'ideas multidimensional scheduling', 'scheduling approximation', 'minimize makespan schedule', 'guarantees multidimensional scheduling', 'multidimensional scheduling', 'scheduling mechanisms']"
"['mediator position auctions', 'mediators position auctions', 'mediator position auction', 'auction valid mediator', 'mediator auction', 'valid mediator auction', 'position auction mediator', 'auction position mediator', 'mediator auction proof', 'mediators item auctions']"
"['auction vcg mechanism', 'auction vcg', 'redistribution vcg payments', 'vcg mechanism budget', 'vcg redistribution mechanism', 'vcg redistribution mechanisms', 'redistribution vcg', 'total vcg redistribution', 'optimal redistribution mechanisms', 'vcg mechanism strategy']"
"['kidney exchange markets', 'algorithms barter exchange', 'algorithms barter exchanges', 'nationwide kidney exchanges', 'kidney exchange market', 'exchanges kidney exchange', 'exchanging kidneys', 'efficient kidney exchange', 'exchanges kidney', 'world kidney exchanges']"
"['information markets projection', 'strategies information markets', 'markets projection game', 'strategies market scoring', 'abstract information markets', 'projection game market', 'betting markets information', 'betting game projection', 'model information markets', 'designed information markets']"
"['general permutation betting', 'permutation betting', 'betting matching problems', 'betting auctioneer', 'permutation betting section', 'auctioneer permutation', 'combinatorial auctions', 'betting market auctioneer', 'auctioneer subset betting', 'subset betting auctioneer']"
"['vertex cover auctions', 'vertex cover auction', 'polynomial time auction', 'auctions vertex cover', 'auctions vertex', 'cost truthful auction', 'auction vertex', 'auction vertex cover', 'frugality path auctions', 'generalized auctions']"
"['auctions compound securities', 'alternative formulations auctioneer', 'auction generalizations', 'formulation auctioneer functions', 'combinatorial auction generalizations', 'matching securities', 'matching compound securities', 'combinatorial auctions concept', 'risk combinatorial auctions', 'sequential auctions']"
"['combinatorial agency models', 'selfish agents', 'combinatorial agency problem', 'selfish agents figure', 'combinatorial agency', 'agent systems', 'combinatorial agency working', 'multi party computations', 'combinatorial agency extended', 'principal agent problem']"
"['learnability demand functions', 'feasibility demand forecasting', 'function forecast demand', 'demand forecasting', 'complexity demand functions', 'demand forecast', 'forecast demand', 'forecasts demand', 'estimation demand functions', 'nonparametric methods forecasts']"
"['efficient approximatelystrategyproof auction', 'efficient combinatorial auctions', 'optimal auction', 'efficient auction mechanism', 'efficient auction', 'auction design mathematics', 'auction problem scheme', 'optimal auction design', 'approximatelystrategyproof auction mechanism', 'combinatorial auctions']"
"['randomized bidding strategies', 'auctions searchbased advertising', 'auction bidding optimization', 'search auctions advertiser', 'sponsored search auctions', 'randomized bidding', 'randomized bids', 'uniform bidding strategies', 'randomizing bidding', 'advertisers query auction']"
"['actions optimal mechanism', 'optimal mechanism actions', 'optimal action mechanism', 'optimal mechanisms action', 'mechanism optimal action', 'optimal mechanisms players', 'optimal mechanisms restriction', 'optimality mechanisms', 'optimality action', 'bounded action mechanisms']"
"['optimal strategies commit', 'strategies bayesian games', 'commitment bayesian games', 'bayesian games leader', 'bayesian game leader', 'commitment strategy agents', 'optimal strategy leader', 'optimal strategy commit', 'strategy bayesian game', 'pure strategies corresponding']"
"['complexity graphical games', 'computation nash equilibria', 'games arbitrary trees', 'algorithm nash equilibria', 'equilibria graphical games', 'approximations nash equilibria', 'equilibrium graphical game', 'graphical nash', 'nash equilibrium vertex', 'graphical games bounded']"
"['auctions assignment constraints', 'multiattribute auctions', 'research multiattribute auctions', 'discussions multiattribute auctions', 'multiattribute double auctions', 'double auctions assignment', 'computational properties auction', 'multi attribute auctions', 'example multiattribute auction', 'allocation combinatorial auctions']"
"['limit order markets', 'limit order trading', 'market maximum instability', 'limit order market', 'order market mechanism', 'stocks limit order', 'order markets', 'stock limit order', 'modern equity markets', 'order stability']"
"['equilibria scrip p2p', 'online systems p2p', 'scrip p2p networks', 'systems p2p networks', 'p2p network practicality', 'efficiency nash equilibria', 's0 nash equilibrium', 'nash equilibria scrip', 'systems p2p', 'scrip p2p']"
"['game omniscient knowledge', 'socratic games worlds', 'game theoretic', 'information classical game', 'studied game theory', 'socratic games models', 'game theoretic setting', 'unobservable socratic games', 'socratic game theory', 'game theory players']"
"['isomorphism extensive games', 'game isomorphic abstraction', 'abstracted game correspond', 'games imperfect information', 'equilibrium abstracted game', 'algorithm explicit game', 'computational game theory', 'computing game theory', 'smaller abstracted game', 'abstracted smaller game']"
"['coalitional games attributes', 'attribute coalitional games', 'attribute coalitional game', 'multiattribute coalitional games', 'complexity coalitional game', 'coalitional game theory', 'coalitional games agents', 'coalitional game agents', 'model coalitional games', 'models coalitional game']"
"['auctions options approach', 'auction options', 'auctions options', 'option auction', 'electronic auction market', 'electronic auction', 'auctions option', 'online auctions options', 'options scheme auctions', 'auction option']"
"['revenue keyword auctions', 'optimal keyword auctions', 'optimal keyword auction', 'advertisements auctioning', 'keyword auctions', 'keyword auction bidders', 'actual keyword auctions', 'revenue optimal ranking', 'evaluates advertisers bids', 'yahoo keyword auctions']"
"['evolutionary game theory', 'classical evolutionary game', 'adversarial graphs random', 'random graphs adversarial', 'evolutionary dynamics graphs', 'graphs adversarial mutations', 'evolutionary equilibria', 'game theory networks', 'sources evolutionary game', 'evolutionary equilibria power']"
"['sponsored search auctions', 'analyses slot auctions', 'slot auctions approach', 'secondprice slot auctions', 'slot auction allocation', 'various slot auction', 'search auctions', 'analysis search auctions', 'alternative slot auction', 'price slot auction']"
"['viral marketing', 'conducive viral marketing', 'product viral marketing', 'products viral marketing', 'dynamics viral marketing', 'viral marketing question', 'marketing viral marketing', 'candidates viral marketing', 'viral marketing product', 'viral marketing efficiency']"
"['recommender ratings', 'ratings based recommender', 'recommender monitoring', 'recommendations ratings', 'recommender performance metrics', 'ratings recommender', 'recommender performance', 'improving recommendations users', 'recommenders commerce', 'improving recommendations']"
"['empirical mechanism analysis', 'empirical mechanism design', 'procurement behavior measures', 'mechanism design decisions', 'particular procurement behavior', 'mechanism parameter outcome', 'methods empirical mechanism', 'procurement behavior', 'design parameter outcomes', 'procurement estimates']"
"['iterative combinatorial auctions', 'efficient combinatorial auctions', 'iterative combinatorial auction', 'combinatorial auctions', 'implementation combinatorial auctions', 'combinatorial auctions theory', 'introduction combinatorial auctions', 'auction practical combinatorial', 'combinatorial auction', 'combinatorial auction involves']"
"['predictions information markets', 'prediction accuracy markets', 'accuracy information markets', 'predictions opinion pools', 'predicted information markets', 'aggregate expert predictions', 'individual experts polls', 'predictions individual experts', 'experts polls information', 'accuracy opinion pools']"
"['communication complexity voting', 'complexity voting rules', 'complexity voting rule', 'complexity common voting', 'communication protocols voting', 'protocols voting rules', 'voting rule bounds', 'complexity voting', 'theorems voting procedures', 'sorted communication complexity']"
"['algorithm iterated dominance', 'dominances pure strategies', 'weak dominance games', 'game notions dominance', 'dominance pure strategies', 'eliminate strategies dominance', 'iterated dominance elimination', 'pure strategies dominating', 'dominance games', 'mixed strategy dominating']"
"['routers selfish agents', 'hop networks actions', 'cooperation intermediate nodes', 'selfish intermediate nodes', 'hop network agents', 'intermediate nodes cooperate', 'nodes independent agents', 'obedient packet forwarding', 'cooperation nodes', 'agents intermediate nodes']"
"['allocation equilibrium fairness', 'fair resource allocation', 'fairness allocation equilibrium', 'allocation shared clusters', 'fairness equilibrium allocation', 'equilibrium allocation envy', 'resource sharing clusters', 'decentralized scheduling games', 'allocation methods fairness', 'fairness allocation']"
"['optimal competitive auction', 'optimal auction items', 'optimal auctions', 'competitive generalized auctions', 'optimal auction', 'auctions optimal auction', 'small optimal auction', 'optimal auctions offer', 'competitive auction auction', 'optimal auction techniques']"
"['auctions robust solution', 'auctions robust solutions', 'solutions robust auctions', 'robust auctions', 'optimal solutions auctions', 'solutions combinatorial auctions', 'robustness various auction', 'solution combinatorial auction', 'reparability auction solutions', 'combinatorial auctions minimize']"
"['coalitional game representation', 'coalitional games representation', 'algorithms coalitional games', 'abstraction coalitional games', 'arbitrary coalitional game', 'agents coalitional game', 'coalitional games assign', 'coalitional games studied', 'coalitional game theory', 'coalitional games described']"
"['truthful mechanism allocation', 'binary optimization demand', 'binary demand games', 'binary demand game', 'truthful mechanism scheduling', 'games binary demand', 'optimization demand game', 'truthful mechanisms scheduling', 'binary optimization', 'demand game allocation']"
"['costs job scheduling', 'jobs shapley value', 'job allocation rule', 'serveral axioms fairness', 'equitable cost allocations', 'sharing job scheduling', 'job shapley value', 'job allocation', 'queueing problems economic', 'job allocations']"
"['decentralized incentive compatible', 'decentralized mechanisms', 'mechanisms decentralized', 'incentive techniques peer', 'algorithms selfish agents', 'incentive compatible mechanisms', 'mechanism peer', 'decentralized incentive', 'decentralized mechanism', 'simple decentralized mechanism']"
"['exchange iterative bidders', 'iterative combinatorial auctions', 'bid combinatorial exchanges', 'iterative bidders', 'iterative auctions', 'practical combinatorial auction', 'combinatorial auction design', 'combinatorial auctions', 'combinatorial auction', 'auction practical combinatorial']"
"['weak monotonicity truthfulness', 'monotonicity suffices truthfulness', 'monotonicity truthful paper', 'monotonicity truthfulness', 'monotonicity sufficient functions', 'truthfulness convex domains', 'suffices convex domains', 'weak monotonicity suffices', 'convex domains hypotheses', 'sufficiency weak monotonicity']"
"['incentive compatible negotiationrange', 'negotiationrange mechanisms', 'negotiation range mechanisms', 'develop negotiationrange mechanisms', 'auction mechanism', 'auction mechanism buyer', 'heterogeneous negotiation', 'negotiation markets preliminaries', 'standard auction mechanism', 'negotiation based']"
"['privacy attitudes behavior', 'privacy economics immediate', 'commerce privacy preferences', 'privacy economics', 'privacy attitudes', 'electronic commerce privacy', 'rational privacy behavior', 'model privacy attitudes', 'economic theory privacy', 'privacy psychological distortions']"
"['donation matching', 'expressive negotiation donations', 'negotiation donations charities', 'charities expressive bidding', 'donation negotiating', 'negotiation donations', 'donate negotiation', 'contemplated donation negotiating', 'match customers donations', 'donation combinatorial auctions']"
"['online scheduling', 'real time scheduling', 'scheduling algorithm', 'scheduling', 'problem online scheduling', 'online scheduling jobs', 'incentive compatible agents', 'scheduling problem', 'online mechanism incentive', 'algorithm scheduling']"
"['incentive techniques peer', 'incentives p2p', 'peer peer incentive', 'peer incentive engineering', 'peer incentive', 'reputation management p2p', 'identity p2p systems', 'identities p2p systems', 'peer p2p systems', 'challenges p2p']"
"['interoperability diffusion', 'compatibility diffusion technologies', 'interoperability diffusion models', 'diffusion technologies social', 'compatibility interoperability diffusion', 'diffusion innovations economics', 'diffusion technologies', 'diffusion model technologies', 'diffusion social networks', 'competing technologies']"
"['mechanisms combinatorial auction', 'preference aggregation mechanisms', 'combinatorial auction design', 'preference aggregation mechanism', 'optimal auction design', 'optimal auctions combinatorial', 'consider combinatorial auction', 'setting optimal auction', 'optimal combinatorial auctions', 'optimal combinatorial auction']"
"['market dpm mechanism', 'mechanism dpm market', 'continuous double auction', 'markets pari mutuel', 'pari mutuel markets', 'markets pari', 'mutuel market hedging', 'mutuel market ability', 'new market mechanism', 'mutuel market traders']"
"['elicitation combinatorial auction', 'algorithm combinatorial auctions', 'class combinatorial auction', 'combinatorial auctions theory', 'complexity combinatorial auctions', 'programming combinatorial auction', 'combinatorial auctions', 'mechanism combinatorial auctions', 'introduction combinatorial auction', 'combinatorial auction']"
"['online trading algorithms', 'trading algorithms', 'trading online algorithms', 'algorithms stock trading', 'trading algorithm', 'vwap trading algorithms', 'theoretical online trading', 'trading algorithms varieties', 'algorithm trading', 'way trading algorithms']"
"['cheating auctions', 'auctions type cheating', 'auctions cheating', 'auction cheating', 'auction profitable cheating', 'cheating auctions results', 'cheating price auction', 'cheating auctions section', 'cheating bidders', 'secure auctions']"
"['connection game graphs', 'graphs strong equilibrium', 'equilibrium congestion games', 'symmetric connection game', 'strong equilibrium games', 'games strong equilibrium', 'graph strong equilibrium', 'strong equilibrium graph', 'network congestion games', 'connection game graph']"
"['information equilibrium', 'markets computation', 'market mechanism security', 'equilibrium price security', 'market computation', 'information market trading', 'markets price security', 'artificial markets science', 'information markets', 'prices information markets']"
