"['entropy ramsey graphs', 'ramsey graphs entropy', 'polynomial entropy ramsey', 'ramsey bipartite graphs', 'bipartite ramsey graphs', 'entropy ramsey', 'ramsey graphs frankl', 'extractors entropy', '2n ramsey graphs', 'ramsey graphs']"
"['handover mobile station', 'handover measurement data', 'handover measurements groups', 'analysis mobile networks', 'handover concept measurements', 'gsm networks', 'mobile networks', 'mobile station comparing', 'analysis gsm', 'clustering algorithm cell']"
"['aspect oop implementation', 'programming aspect', 'aspect oriented', 'oriented programming development', 'programming component', 'aspectual functionality', 'oriented software', 'crawler aspects', 'abstract aspect oriented', 'programming aspect oriented']"
"['attack resilient aggregation', 'aggregation sensor networks', 'compromised nodes aggregation', 'sensor network adversary', 'resilient aggregation algorithms', 'aggregate attack approach', 'resilient aggregation', 'aggregate attack', 'network aggregation', 'data aggregation sensor']"
"['event multimodal information', 'presentation multimodal information', 'automated rich presentation', 'multimedia content analysis', 'multimodal information extraction', 'presentation semantic topic', 'multimedia retrieval', 'similarity multimodal information', 'authoring multimedia retrieval', 'rich presentation generation']"
"['database security course', 'course database security', 'database security education', 'database security courses', 'courses database security', 'study database security', 'database security topics', 'developing database security', 'offering database security', 'database security basics']"
"['titles extractions', 'successful title extraction', 'reliable title extraction', 'title extraction', 'title extraction research', 'features title extraction', 'evaluations title extraction', 'consider title extraction', 'titles titles extractions', 'title extraction methods']"
"['sensor node intrusion', 'recovering sensor nodes', 'detection node recovery', 'attacks sensor networks', 'algorithms node recovery', 'sensor network nodes', 'node recover algorithms', 'communicating sensor nodes', 'misbehaving nodes recover', 'node intrusion']"
"['bayesian online classifiers', 'online classifiers text', 'classification filtering text', 'documents bayesian classifiers', 'classifiers text classification', 'online classifiers classify', 'online classifiers', 'text classifiers', 'text classification systems', 'classify text documents']"
"['pagerank machine learning', 'better pagerank', 'pagerank features', 'effective pagerank', 'pagerank machine', 'pagerank', 'features pagerank', 'worse pagerank', 'ranking web pages', 'pagerank static features']"
"['constructions secure computation', 'secure computation abstract', 'general secure computation', 'secure computation', 'protocols secure computation', 'definitions secure computation', 'computation secure presence', 'cryptographic primitives require', 'homomorphic encryption schemes', 'secure oblivious transfer']"
"['bluetooth dynamic scheduling', 'scheduling bluetooth', 'aware scheduling bluetooth', 'interference aware scheduling', 'bluetooth performance interference', 'bluetooth packet loss', 'bluetooth interference aware', 'bluetooth wlan packets', 'bluetooth performance', 'bluetooth interference environment']"
"['crawling web characterization', 'performance web crawling', 'efficient crawling', 'search crawling yields', 'web crawling', 'effectiveness crawling', 'search crawling', 'crawling web', 'web crawl', 'performing crawl breadth']"
"['names instant messaging', 'broadcast messages people', 'names personal messages', 'broadcast information contacts', 'instant messaging impact', 'instant messaging', 'messenger participants', 'instant messaging abstract', 'messaging systems person', 'abstract instant messenger']"
"['internet archive web', 'library history web', 'archive web', 'internet archive', 'historical web data', 'web research', 'historical web', 'archive internet', 'library web', 'archive web site']"
"['early women computing', 'women computing work', 'female pioneers computing', 'successful women computing', 'feminist perspectives computer', 'pathways women computing', 'computing education profession', 'women computing', 'histories women computing', 'women computing history']"
"['technology dependable computing', 'dependable computing', 'quantum computing architectures', 'nano computing', 'quantum computational devices', 'dependable computing systems', 'quantum computational device', 'vital quantum computing', 'age nano computing', 'quantum computing']"
"['sustainable community information', 'sustainability computerized community', 'community information systems', 'sustain community information', 'developing community information', 'making community information', 'computerized community', 'information community', 'systems community information', 'computerized community information']"
"['machine learning security', 'security machine learning', 'attacks machine learning', 'learning intrusion', 'attacks learning', 'include attacks learning', 'targets learning intrusion', 'learning techniques intrusion', 'intrusions learner', 'detecting attacks learner']"
"['information retrieval drawing', 'drawings information retrieval', 'retrieval drawing', 'recognition user drawings', 'user drawings', 'retrieval sketch manipulations', 'information drawing manipulations', 'information retrieval pen', 'systems user drawing', 'user drawing']"
"['retrieval systems compression', 'suitable index compression', 'access index compression', 'compressed indexes', 'index compression schemes', 'queries use compression', 'index compression', 'compression indexes', 'experiments compression indexes', 'indexes bitwise compression']"
"['integrity constraints databases', 'inconsistent relational databases', 'queries denial integrity', 'notion consistent query', 'integrity constraints database', 'consistency ground queries', 'corresponding conflicts database', 'consistent database', 'consistent query', 'repairs consistent query']"
"['applicability consistent query', 'consistent query answering', 'semantics consistent query', 'conjunctive queries databases', 'characterizations consistent query', 'tractability consistent query', 'technique consistent query', 'constraints query languages', 'answering conjunctive queries', 'simple consistent query']"
"['usability web information', 'usability web', 'web information systems', 'systems web information', 'web services understanding', 'services understanding web', 'designing web information', 'understanding web information', 'web services', 'web systems web']"
"['partial object recognition', 'symmetry image databases', 'occluded objects recognition', 'objects image retrieval', 'portion objects recognition', 'matching object recognition', 'object recognition occlusion', 'descriptions shape detection', 'symmetrical features objects', 'objects recognition']"
"['categorical clustering algorithms', 'categorical clustering notion', 'categorical clustering', 'clustering categorical data', 'data entropy clusters', 'clustering categorical attributes', 'categorical clustering abstract', 'entropy clustering', 'categorical clustering received', 'entropy cluster']"
"['reusability java components', 'reusability java', 'evaluating software metrics', 'oriented software metrics', 'assess reusability', 'software reusability', 'software metrics', 'ranking reusability', 'metrics measures cohesion', 'methods cohesion metrics']"
"['distributed 3d graphics', 'distributed objects programming', 'programmer viewpoint objects', 'interactive graphical applications', 'distributed graphics', 'distributed programming language', 'graphics data structures', 'distributed programming languages', 'memory graphical objects', 'java 3d']"
"['navigational query identification', 'query identification features', 'query classification', 'features navigational query', 'navigational queries web', 'feature navigational query', 'navigational queries', 'query identification search', 'query classification query', 'query classification scenario']"
"['functional verification coverage', 'generation functional verification', 'test generation functional', 'design bayesian network', 'simulation dynamic verification', 'verification simulation', 'verification coverage', 'test case generators', 'ensure verification design', 'automate feedback coverage']"
"['index generation document', 'book indexes', 'document preparation index', 'said book indexes', 'documentation little indexing', 'content analysis indexing', 'individual books indexes', 'books indexes', 'indexing style books', 'individual book indexes']"
"['metrics boolean classification', 'classification performance metrics', 'boolean classification performance', 'data mining metric', 'roc curve metrics', 'metrics appropriate predictions', 'metrics roc', 'metric performance metrics', 'mining metric', 'metric learning']"
"['database security curriculum', 'database security course', 'security curriculum infosec', 'database security topics', 'security database', 'database security concepts', 'concepts database security', 'learning database security', 'database security book', 'security database vulnerabilities']"
"['dbblue bluetooth scatternet', 'bluetooth scatternet abstract', 'dbblue scatternet route', 'dbblue scatternet construction', 'slave nodes scatternet', 'bluetooth scatternet', 'hop bluetooth communication', 'scatternet formation protocol', 'dbblue scatternet constructed', 'dbblue scatternet master']"
"['commerce statistics countries', 'commerce statistical country', 'commerce statistics development', 'countries commerce commerce', 'informationization country', 'development informationization country', 'countries overview commerce', 'commerce statistics world', 'country commerce', 'country commerce country']"
"['information systems structuration', 'information systems paradigm', 'information design use', 'community information systems', 'use information systems', 'information design', 'information design case', 'information design community', 'development communicative action', 'systems information theory']"
"['tcp failures based', 'tcp failures infer', 'tcp failure data', 'probability tcp failures', 'model tcp failures', 'tcp failure probabilities', 'detect network failures', 'diagnosis tcp connections', 'bayesian network diagnosis', 'detect tcp failures']"
"['metadata digital assets', 'digital assets database', 'digital assets metadata', 'database digital assets', 'assets metadata digital', 'structured digital assets', 'asset storage xml', 'xml database enterprises', 'digital content xml', 'digital asset management']"
"['scheduling algorithm bluetooth', 'slaves bluetooth scatternets', 'algorithm bluetooth scatternets', 'scatternet scheduling scheme', 'bluetooth scatternets', 'scatternet scheduling', 'distributed scatternet scheduling', 'bandwidth bluetooth', 'scatternet scheduling gateways', 'scatternet scheduling pcss']"
"['topic directoryrank', 'page directoryrank', 'directoryrank main topics', 'ranking pages topic', 'topic directoryrank metric', 'directoryrank useful topic', 'directoryrank order web', 'informative pagerank', 'directoryrank topic', 'directoryrank ranking framework']"
"['web service discovery', 'biased service discovery', 'ranking web services', 'service discovery evaluation', 'based service discovery', 'relevance source service', 'categorization web services', 'service discovery techniques', 'services ranking', 'service discovery']"
"['descriptors retrieval applications', 'descriptors retrieval', 'basic descriptors retrieval', 'descriptors distance measurement', 'visual information retrieval', 'descriptors distance', 'distance measures descriptor', 'retrieval information', 'retrieval applications', 'descriptor distance measure']"
"['regard robots dogs', 'dog vs robot', 'robots dogs', 'robotic dogs', 'dogs robots children', 'robot dogs', 'regard robots', 'robots robotic dogs', 'dogs robots', 'noun dog robot']"
"['web hidden search', 'hidden web crawling', 'crawling hidden web', 'web crawling', 'effective hidden web', 'search hidden web', 'web crawler simplicity', 'hidden web search', 'hidden web crawler', 'frequent hidden web']"
"['java language extension', 'aspectj language compiler', 'java language extensions', 'extension java language', 'generating aspectj programs', 'java language features', 'aspectj language', 'aspectj programs', 'aspectj compiler implementation', 'sophistication aspectj compiler']"
"['studied query logs', 'query log analysis', 'daily query traffic', 'overall query traffic', 'available query logs', 'analysis query frequency', 'web query logs', 'queries day search', 'categorized queries search', 'general query traffic']"
"['discriminative text classification', 'text categorization methods', 'text categorization classification', 'class text categorization', 'text categorization', 'text categorization tasks', 'automatic text categorization', 'class text classification', 'techniques text categorization', 'fast text classification']"
"['fast nextword indexes', 'index phrase browsing', 'nextword index processing', 'file phrase query', 'techniques nextword indexes', 'index approximating phrases', 'file nextword indexes', 'phrase indexes', 'nextword indexes queries', 'processing nextword indexes']"
"['retrieval similar shapes', 'fast retrieval objects', 'similarity queries shape', 'indexing shapes', 'records matching shapes', 'similarity retrieval', 'shapes measure similarity', 'similar shapes descriptors', 'boundary anddo retrieval', 'similarity boundary shapes']"
"['volumetric graphics voxelization', 'graphics voxelization', 'efficient surface voxelization', 'surface voxelization slice', 'voxelization graphics', '3d slicer voxelizing', 'voxelization 3d', 'geometry voxelization', 'used triangles voxels', 'performance surface voxelization']"
"['rdf semantic', 'rdf semantic associations', 'semantic associations rdf', 'notions rdf data', 'rdf typically query', 'semantic query capabilities', 'rdf formalization', 'rdf schemas', 'formalization rdf data', 'rdf schema']"
"['memory database queries', 'query memory banks', 'memory friendly database', 'query optimizer memory', 'memory resident databases', 'memory resident dbms', 'query memory', 'memory energy query', 'memory resident database', 'memory databases']"
"['spark security programs', 'integrity software spark', 'specification security safety', 'specification security', 'spark security', 'safety integrity analysis', 'information flow integrity', 'flow security information', 'allows specification security', 'flow security']"
"['entropy self organization', 'agent self organization', 'entropy self', 'organization concomitant entropy', 'behavior entropy micro', 'entropy macro agent', 'self organization mechanisms', 'behavior entropy', 'agent coordination', 'interactions self organization']"
"['sensor selection localization', 'sensors selection entropy', 'target location entropy', 'sensor selection heuristic', 'informative sensor entropy', 'sensor informative entropy', 'heuristic sensor selection', 'sensors selection heuristic', 'location distribution entropy', 'location entropy reduction']"
"['global pageranks', 'global pageranks care', 'global pagerank', 'global pagerank estimate', 'global pagerank web', 'pageranks entire web', 'local pageranks', 'pagerank web communities', 'pagerank crawl', 'local pagerank']"
"['similarity recommending', 'recommending communities', 'measure similarity recommender', 'community recommendation base', 'similarity recommender', 'recommendations communities', 'recommendation base community', 'recommendation algorithms', 'recommendation community', 'make community recommendations']"
"['helpful searching browsing', 'simple searching browsing', 'browse search interface', 'browsing searching', 'www search interface', 'browsing searching functions', 'traditional search interfaces', 'searching browsing examples', 'search interface', 'searching browsing']"
"['identifying topics events', 'topic event models', 'news topic event', 'modeling news topics', 'threading events news', 'event threading news', 'dependencies news topic', 'identifying events topic', 'topics events', 'events news topic']"
"['learning kernels optimization', 'optimization svms', 'evolutionary learning kernels', 'evolutionary svms', 'evolutionary svm', 'optimization traditional svms', 'optimization statistical learning', 'optimization kernel', 'evolutionary svm variants', 'kernels optimization']"
"['extensible object middleware', 'flexible middleware infrastructure', 'object middleware design', 'approaches flexible middleware', 'object middleware', 'object corba middleware', 'approach middleware extensibility', 'implementation middleware', 'based middleware implementation', 'compliant middleware architecture']"
"['robot task effectiveness', 'robots user interface', 'robot activity time', 'robots time', 'robot fan', 'effort robot', 'user interface robots', 'robot control users', 'fan robot', 'activity time robots']"
"['compression sorting strings', 'compression sorting', 'preserving compression sorting', 'order compression techniques', 'sorting word ram', 'efficient compressed data', 'fast sort compressed', 'fast string sorting', 'sorting compressed text', 'compression sorting algorithms']"
"['fbram pixel write', 'buffer fbram vram', 'buffer ram fbram', 'fbram vram', 'fbram video buffers', 'vram fbram', 'buffers unlike vram', 'ram fbram', 'vram frame buffers', 'fbram pixel']"
"['named entity recognition', 'entity recognition news', 'entity recognition', 'text categorization entity', 'entity recognition techniques', 'entities corpus', 'entity detection', 'entity recognition entity', 'entity detection tracking', 'entity recognition problem']"
"['haskell compiler', 'haskell language', 'imperative stg machine', 'glasgow haskell compiler', 'description haskell language', 'sestoft language semantics', 'compilers logics', 'sestoft operational semantics', 'stg machine constructions', 'instructions operational semantics']"
"['query classification', 'categories query classification', 'query classification aim', 'classifier query classification', 'used query classification', 'query classification methods', 'query classification task', 'data query classification', 'define query classification', 'irrelevant query classification']"
"['collaborative crawling strategies', 'collaborative crawling strategy', 'collaborative crawling propose', 'collaborative crawling', 'collaborative crawling crawling', 'collaborative crawler crawling', 'performance collaborative crawling', 'efficient crawling', 'collaborative crawling classification', 'crawling strategies']"
"['3d graphics benchmarks', '3d graphics benchmark', 'mobile 3d graphics', '3d graphics architectures', '3d graphics benchmarking', 'graphics benchmark suite', '3d benchmarks employed', 'embedded 3d graphics', 'graphics benchmark suites', 'graphics benchmarks']"
"['handoff 3g', 'handoff wlan', 'handoff wlans', 'trigger wlan 3g', 'wlan vertical handoffs', 'using handoff trigger', 'use handoff trigger', 'network vertical handoff', 'handoff trigger table', 'table 3g wlan']"
