"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'discovery grid service', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers']"
"['openness virtual organizations', 'governed virtual organizations', 'regulated virtual organizations', 'virtual organization', 'virtual organizations realised', 'virtual organizations', 'concerns virtual organization', 'different virtual organizations', 'virtual organizations situations', 'virtual organizations achieved']"
"['agents norms', 'agent norms', 'agents norms institutions', 'agent norms expressed', 'distributed enforcement norms', 'norm obligation agent', 'distributed management norms', 'autonomous agents norms', 'norm aware agent', 'workshop agents norms']"
"['learning systems agents', 'learning algorithm agent', 'agents meta learning', 'agentbased data mining', 'agentbased learning systems', 'learning agents approaches', 'distributed learning architectures', 'meta learning distributed', 'learning agents using', 'distributed machine learning']"
"['combinatorial auction algorithms', 'distributed combinatorial auction', 'pause auction algorithms', 'algorithms combinatorial auctions', 'auction functioning algorithms', 'auctions presented algorithms', 'combinatorial auctions coordination', 'auction algorithms', 'auction algorithms shown', 'combinatorial auction bidders']"
"['negotiations multiple agents', 'individual agent negotiation', 'negotiation strategies agents', 'agent negotiation chain', 'agent global negotiation', 'negotiation agents tasks', 'agents negotiation chain', 'negotiation agent negotiation', 'singleagent concurrent negotiation', 'negotiation phase agents']"
"['distributed pseudotree optimization', 'pseudotree generation heuristics', 'pseudotrees heuristic', 'pseudotree heuristic heuristics', 'pseudotree heuristic', 'pseudotrees consider heuristics', 'pseudotree common heuristic', 'heuristics better pseudotrees', 'heuristics generate pseudotrees', 'produce pseudotrees heuristic']"
"['planning control stochastic', 'probabilistic planning', 'planning stochastic environments', 'planning stochastic', 'planning related stochastic', 'approach planning control', 'planning control agent', 'planning control', 'planning control approach', 'control markovian environment']"
"['commitment based agent', 'commitment machines language', 'agent programming language', 'agent interactions commitment', 'commitments agents', 'commitment machine framework', 'commitment machines framework', 'commitment machine implementations', 'agent programming languages', 'bdi agent programming']"
"['temporal logic specifications', 'logics multi agent', 'temporal logics', 'model checking agents', 'temporal logic', 'logic reasoning agents', 'languages models logics', 'temporal strategic logics', 'using temporal logic', 'time temporal logic']"
"['agent programming languages', 'agent oriented programming', 'agent architectures languages', 'agent oriented software', 'agent oriented language', 'semantics multiagent interactions', 'agent programming', 'agent based abstractions', 'multi agent programming', 'framework inter agent']"
"['normative systems agents', 'normative systems games', 'normative systems game', 'normative model agent', 'logic normative systems', 'agent goal hierarchy', 'agent goals hierarchy', 'properties normative games', 'consider normative games', 'goal agent computation']"
"['multi issue negotiation', 'multilateral negotiation problem', 'multilateral negotiation negotiation', 'multi issue negotiations', 'based multiagent negotiation', 'multilateral negotiation', 'multiagent negotiation', 'multiagent negotiation strategy', 'negotiation multilateral', 'multilateral negotiation setting']"
"['distributed agents', 'agent distributed', 'agent distributed technique', 'distributed multiagent', 'agent environment distributed', 'distributed resource management', 'distributed resource allocation', 'multiagent computing', 'shared resource agents', 'balancing distributed multiagent']"
"['temporal logic', 'plausibility temporal framework', 'temporal plausibility based', 'time temporal logic', 'epistemic temporal reasoning', 'logics time knowledge', 'notion plausibility logic', 'belief plausibility framework', 'ctl epistemic logic', 'temporal reasoning']"
"['argumentation learning agents', 'agents participating argumentation', 'agents learning argumentation', 'argumentation multi agent', 'agents engage argumentation', 'agent participating argumentation', 'argumentation composed agents', 'agents argumentation process', 'argumentation agents', 'agents engaging argumentation']"
"['argumentation based negotiation', 'argumentation negotiation theory', 'negotiation argumentation based', 'argumentation integrated negotiation', 'based negotiation argumentation', 'negotiation like argumentation', 'argumentation negotiation dialogues', 'argumentation theory negotiation', 'negotiation argumentation', 'agents argumentative negotiation']"
"['complex voting games', 'shapley value voting', 'shapley value game', 'games polynomial time', 'games shapley value', 'game time complexity', 'voting game method', 'algorithm shapley', 'complexity doing voting', 'solutions voting games']"
"['negotiation multi agent', 'multi issue negotiation', 'negotiation issue agents', 'individual issue negotiation', 'problem agents negotiate', 'single issue negotiation', 'issue negotiation agents', 'issues negotiation agents', 'problem solving negotiation', 'negotiation indivisible issues']"
"['computerized negotiation', 'multi attribute negotiation', 'gains automated negotiations', 'negotiation analysis operations', 'negotiation involve mechanisms', 'decision negotiation', 'automated negotiation coalition', 'technologies automated negotiation', 'automated negotiation', 'automated negotiations']"
"['constraints automated negotiation', 'negotiation distributed constraint', 'distributed constraint satisfaction', 'concepts automated negotiation', 'shared constraints agents', 'automated negotiation negotiation', 'automated negotiation solution', 'automated negotiation', 'constraint satisfaction framework', 'distributed constraint algorithms']"
"['dimensional probabilistic trust', 'probabilistic trust', 'trust estimate agents', 'computational trust deals', 'computational trust models', 'probabilistic trust model', 'computational trust agent', 'principled computational trust', 'trust estimates agent', 'multi dimensional trust']"
"['optimal strategy security', 'mixed strategy adversaries', 'strategy adversaries', 'strategy security agent', 'security agent strategy', 'strategy security', 'simple strategies security', 'games uncertain adversaries', 'mixed strategy security', 'strategy adversaries observe']"
"['user agents privacy', 'privacypreserving recommender', 'agent based privacy', 'agent recommender', 'multi agent recommender', 'privacy recommendations propagated', 'recommendations propagated privacy', 'collaborative filtering privacy', 'privacy information filtering', 'agents privacy']"
"['agent communication language', 'semantics agent communication', 'agents intended semantics', 'semantics allow agent', 'agent communication languages', 'semantics individual agents', 'agents mentalistic semantics', 'verifiable semantics agent', 'dynamic semantics agent', 'formalising agent']"
"['vehicular networks agents', 'agent vehicular networks', 'agents vehicular networks', 'agents cars network', 'agent vehicular', 'agents vehicular', 'cars passing network', 'agent reach cars', 'vehicular networks', 'vehicular networks behavior']"
"['air traffic management', 'traffic flow agents', 'adaptive air traffic', 'management air traffic', 'model air traffic', 'complex air traffic', 'air traffic flow', 'traffic flow management', 'air traffic congestion', 'air traffic optimization']"
"['resources optimal allocation', 'optimal allocation resources', 'solving resource allocation', 'allocation problem resources', 'ai resource allocation', 'decomposition resource allocation', 'resource allocation problems', 'stochastic resource allocation', 'resource allocation problem', 'resource allocation task']"
"['scheduling multiagent mdps', 'scheduling problem agents', 'scheduling problems agents', 'scheduling multiagent', 'resource scheduling agents', 'scheduling agents', 'combinatorial resource scheduling', 'scheduling problem formulation', 'optimal resource scheduling', 'mdps resource scheduling']"
"['organization self design', 'organizational structure agents', 'agents organizational design', 'organizational structures agents', 'organizational design multiagent', 'organizational self design', 'static organizational structure', 'organizational structures runtime', 'organizational primitives agent', 'agent organizational']"
"['interactive pomdps generalize', 'interactive pomdps using', 'graphical representations pomdps', 'interactive pomdps', 'solutions interactive pomdps', 'decision processes pomdps', 'analogous pomdps agent', 'computational representations pomdps', 'computational counterparts pomdps', 'agent pomdp framework']"
"['solutions distributed pomdps', 'distributed pomdps', 'problems distributed pomdps', 'generation distributed pomdps', 'search distributed pomdps', 'distributed pomdp', 'distributed pomdps synthesis', 'iteration decentralized pomdps', 'execution distributed pomdps', 'solving decentralized pomdps']"
"['mdps heuristic solution', 'mdps heuristic', 'decentralized markov', 'algorithms dec mdps', 'mdps temporal constraints', 'mdp algorithms', 'decentralized mdps', 'decentralized control markov', 'mdp algorithms variety', 'mdp temporal constraints']"
"['commitments players extortion', 'extortionable conditional commitments', 'conditional commitments extortions', 'extortion conditional commitments', 'extortionable conditional commitment', 'commitments extortions', 'commitments definition extortions', 'players actions commitments', 'conditional commitments players', 'commitments extortions introduction']"
"['ontologies multi agent', 'ontology multi agent', 'dynamic ontologies tool', 'mining ontologies', 'dynamo overview ontology', 'building dynamic ontologies', 'dynamic ontologies', 'dynamic ontology management', 'mining ontologies text', 'dynamic ontologies seen']"
"['ontology matching mechanisms', 'alignment ontological entities', 'alignment ontological terminology', 'ontology matching', 'alignment ontological', 'ontology alignment', 'need ontology matching', 'systems ontology matching', 'ontology alignment meaning', 'agents respective ontologies']"
"['similarity available services', 'ontology negotiate service', 'similarity request consumer', 'semantic similarity services', 'similarity services offer', 'ontologies supporting negotiation', 'similarity services compare', 'similarity services', 'based ontology negotiation', 'similarity consumer']"
"['heterogeneous agent reputation', 'agent reputation models', 'agent reputation model', 'reputation models interoperability', 'agents associated reputation', 'reputation models agent', 'agents exchanging reputation', 'reputation model agent', 'reputation multi agents', 'ontology reputation models']"
"['inter agent dialogues', 'dialogues agents', 'agent dialogues', 'dialogues agents knowledge', 'dialogue determined agents', 'dialogue prevents agents', 'dialogue conforms protocol', 'agents make dialogue', 'dialogue corresponds argumentation', 'relevance enforces dialogue']"
"['agents global protocol', 'agent achieve consistency', 'agents lower protocols', 'consistency global protocol', 'agents protocol', 'agents protocol meet', 'consistency involved agents', 'reach consistency agents', 'protocol multi agent', 'mutual consistency agents']"
"['logic automated negotiation', 'abduction logic programming', 'proposals logic programming', 'negotiation logic programs', 'computing proposals logic', 'abductive logic programming', 'proposals abductive logic', 'automated negotiation agents', 'logic multi agent', 'agents construct proposals']"
"['logic introduce negotiation', 'negotiation encounters model', 'logic negotiation model', 'negotiation strategies', 'negotiation relationships', 'relationships negotiators', 'human negotiation modelling', 'achieve negotiation', 'negotiation model', 'negotiation modelling']"
"['protocol commitments agents', 'protocols agent reasoning', 'protocols autonomous agents', 'agents reason commitments', 'providing agents commitments', 'commitments modeling agent', 'agent interactions protocols', 'reasoning interaction protocols', 'enforce commitments agents', 'commitments agents']"
"['generalized trade reduction', 'trade reduction algorithms', 'trade reduction mechanism17', 'efficient auction mechanisms', 'trade reduction mechanisms', 'mechanism generalized trade', 'auction mechanisms', 'auctions competition reduction', 'reduction distributed markets', 'double auction mechanism']"
"['web product reviews', 'online reviews automated', 'online feedback reporting', 'online product reviews', 'users textual reviews', 'rating behavior users', 'behavior online feedback', 'online product ratings', 'reporting online feedback', 'online reviews reveal']"
"['graph optimal trade', 'auction desirable equilibrium', 'monopolized agents sellers', 'graph sellers traders', 'sellers trade intermediaries', 'auction mediated traders', 'equilibrium traders', 'free equilibrium traders', 'sellers pure equilibrium', 'graph buyers sellers']"
"['auctions item graphs', 'complexity combinatorial auctions', 'tractable combinatorial auctions', 'auction item graph', 'combinatorial auctions item', 'combinatorial auction item', 'auctions structured item', 'manageable combinatorial auctions', 'combinatorial auctions notion', 'combinatorial auctions known']"
"['theorem graphical games', 'nash equilibrium algorithms', 'games underlying graph', 'theorem graphical game', 'algorithm graphical games', 'best nash equilibrium', 'equilibria graphical games', 'bounded payoff games', 'graphical games bounded', 'computable nash equilibria']"
"['structured multiattribute auctions', 'auction additive preferences', 'practical multiattribute auctions', 'structure multiattribute auctions', 'abstract multiattribute auction', 'multiattribute auctions based', 'multiattribute auctions', 'based multiattribute auction', 'multiattribute auction mechanisms', 'multiattribute auctions accommodate']"
"['scheduling makespan minimization', 'multidimensional scheduling approximation', 'schedule makespan minimization', 'known multidimensional scheduling', 'approximation mechanisms scheduling', 'bound scheduling mechanisms', 'ideas multidimensional scheduling', 'scheduling approximation', 'guarantees multidimensional scheduling', 'multidimensional scheduling']"
"['auction existence mediator', 'mediator position auctions', 'mediators position auctions', 'mediator position auction', 'auction valid mediator', 'mediator auction', 'valid mediator auction', 'auction mediator discussed', 'auction let mediator', 'position auction mediator']"
"['auction vcg mechanism', 'auction vcg', 'redistribution vcg payments', 'vcg mechanism budget', 'incentives vcg mechanism', 'vcg redistribution mechanism', 'vcg redistribution mechanisms', 'redistribution vcg', 'auction positive surplus', 'total vcg redistribution']"
"['barter exchanges kidney', 'kidney exchange markets', 'algorithms barter exchange', 'algorithms barter exchanges', 'auctions handle kidney', 'donate kidneys marketplaces', 'nationwide kidney exchanges', 'kidney exchange market', 'kidneys marketplaces', 'exchanges kidney exchange']"
"['information markets projection', 'strategies information markets', 'markets projection game', 'markets modeled game', 'strategies market scoring', 'abstract information markets', 'projection game market', 'information markets modeled', 'information markets designed', 'betting markets information']"
"['auctioneer subset betting', 'subset betting auctioneer', 'general permutation betting', 'permutation betting', 'wagers permutation betting', 'betting permutations', 'betting auctioneer problem', 'betting matching', 'auctioneer pair betting', 'betting matching problems']"
"['vertex cover auctions', 'vertex cover auction', 'polynomial time auction', 'auctions vertex cover', 'auctions vertex', 'cost truthful auction', 'auction vertex', 'auction graph allocation', 'auction vertex cover', 'frugality path auctions']"
"['auctions compound securities', 'reasoning traders matching', 'alternative formulations auctioneer', 'auction generalizations', 'formulation auctioneer functions', 'combinatorial auction generalizations', 'sequential auctions compound', 'agents auctioneer optimization', 'matching securities', 'matching compound securities']"
"['controlled selfish agents', 'combinatorial agency models', 'selfish agents', 'combinatorial agency problem', 'selfish agents figure', 'agents optimal', 'combinatorial agency', 'agent systems', 'agent optimal', 'principal agent problem']"
"['learnability demand functions', 'feasibility demand forecasting', 'methods forecasts demand', 'function forecast demand', 'demand forecasting', 'complexity demand functions', 'demand forecast', 'forecast demand', 'demand forecast demand', 'forecasts demand']"
"['auction describing approximation', 'efficient approximatelystrategyproof auction', 'efficient combinatorial auctions', 'optimal auction', 'efficient auction mechanism', 'efficient auction', 'auction determine allocation', 'auction design mathematics', 'auction problem scheme', 'optimal auction design']"
"['randomized bidding strategies', 'auctions searchbased advertising', 'auction bidding optimization', 'strategy randomizing bidding', 'search auctions advertiser', 'bidding strategy randomized', 'sponsored search auctions', 'randomized bidding', 'randomized bids', 'uniform bidding strategies']"
"['actions optimal mechanism', 'optimal mechanism actions', 'optimal action mechanism', 'optimal mechanisms action', 'mechanism optimal action', 'optimal mechanisms players', 'specified optimality mechanisms', 'optimal mechanisms restriction', 'optimality mechanisms', 'opposed optimal mechanisms']"
"['optimal strategies commit', 'strategies bayesian games', 'commitment bayesian games', 'bayesian games leader', 'bayesian game leader', 'commitment strategy agents', 'optimal strategy leader', 'optimal strategy commit', 'strategy bayesian game', 'pure strategies corresponding']"
"['nash equilibria trees', 'nash equilibria graphs', 'complexity graphical games', 'computation nash equilibria', 'games arbitrary trees', 'graphical nash reduction', 'nash equilibria algorithm', 'games underlying graph', 'games trees revisited', 'equilibria graphical games']"
"['auctions assignment constraints', 'multiattribute auctions', 'research multiattribute auctions', 'discussions multiattribute auctions', 'multiattribute double auctions', 'double auctions assignment', 'computational properties auction', 'approach multiattribute auction', 'multi attribute auctions', 'example multiattribute auction']"
"['limit order markets', 'limit order trading', 'market maximum instability', 'limit order market', 'order market mechanism', 'stocks limit order', 'order markets', 'stock limit order', 'modern equity markets', 'order stability']"
"['scrip p2p networks', 'systems p2p networks', 'p2p network practicality', 'efficiency nash equilibria', 'nash equilibria scrip', 'systems p2p', 'scrip p2p', 'nash equilibrium agents', 'p2p networks', 'viability p2p networks']"
"['knowledge studied game', 'game omniscient knowledge', 'socratic games worlds', 'game theoretic', 'information classical game', 'studied game theory', 'socratic games models', 'game theoretic setting', 'unobservable socratic games', 'socratic game theory']"
"['isomorphism extensive games', 'game isomorphic abstraction', 'abstracted game correspond', 'games imperfect information', 'equilibrium abstracted game', 'algorithm explicit game', 'computational game theory', 'computing game theory', 'abstracted smaller game', 'isomorphisms ordered game']"
"['coalitional games attributes', 'attribute coalitional games', 'attribute coalitional game', 'multiattribute coalitional games', 'complexity coalitional game', 'coalitional game theory', 'coalitional games agents', 'coalitional game agents', 'model coalitional games', 'models coalitional game']"
"['auctions options approach', 'auction options', 'auctions options', 'option auction', 'electronic auction market', 'electronic auction', 'auctions option', 'online auctions options', 'options scheme auctions', 'auction option']"
"['revenue keyword auctions', 'optimal keyword auctions', 'keyword auctions analyze', 'optimal keyword auction', 'sponsored search auctions', 'rank revenue bidders', 'advertisements auctioning', 'keyword auctions', 'keyword auction bidders', 'actual keyword auctions']"
"['preserving evolutionary equilibria', 'evolutionary game theory', 'evolution theory games', 'classical evolutionary game', 'game networks preserving', 'evolutionary dynamics graphs', 'evolutionary equilibria', 'game theory networks', 'sources evolutionary game', 'evolutionary equilibria power']"
"['sponsored search auctions', 'analyses slot auctions', 'auction informational', 'slot auctions approach', 'auctions revenue ranking', 'slot auctions studied', 'secondprice slot auctions', 'slot auction allocation', 'slot auctions consider', 'various slot auction']"
"['viral marketing', 'conducive viral marketing', 'product viral marketing', 'products viral marketing', 'dynamics viral marketing', 'viral marketing question', 'marketing viral marketing', 'maximize viral marketing', 'candidates viral marketing', 'viral marketing product']"
"['make recommendations ratings', 'recommender ratings', 'ratings based recommender', 'recommendations ratings recommender', 'recommender monitoring', 'recommendations possible ratings', 'recommendations ratings', 'recommender performance metrics', 'ratings recommender', 'rating allows recommendations']"
"['empirical mechanism analysis', 'empirical mechanism design', 'procurement behavior measures', 'mechanism analysis models', 'mechanism design decisions', 'measures constraining procurement', 'particular procurement behavior', 'mechanism parameter outcome', 'procurement estimates based', 'estimating best mechanism']"
"['iterative combinatorial auctions', 'combinatorial auctions formulated', 'auctions computational', 'efficient combinatorial auctions', 'iterative combinatorial auction', 'combinatorial auctions', 'implementation combinatorial auctions', 'introduction combinatorial auctions', 'auction practical combinatorial', 'combinatorial auctions achieving']"
"['predictions information markets', 'prediction accuracy markets', 'accuracy information markets', 'pooled expert predictions', 'predictions opinion pools', 'predicted information markets', 'aggregate expert predictions', 'predictions pooled expert', 'individual experts polls', 'involving teams predictions']"
"['communication complexity voting', 'complexity voting rules', 'complexity voting rule', 'complexity common voting', 'communication protocols voting', 'protocols voting rules', 'voting rule bounds', 'complexity voting', 'voting rules studied', 'theorems voting procedures']"
"['complexity iterated dominance', 'games iterated dominance', 'games using dominance', 'strategy iterated dominance', 'strategy proof dominance', 'strategies iterated dominance', 'dominances pure strategies', 'games dominance iterated', 'weak dominance games', 'game notions dominance']"
"['routers selfish agents', 'hop networks actions', 'cooperation intermediate nodes', 'selfish intermediate nodes', 'hop network agents', 'agents forwarding behavior', 'incentivized forward packets', 'independent agents forwarding', 'intermediate nodes cooperate', 'nodes independent agents']"
"['distributed resource allocation', 'allocation equilibrium fairness', 'fair resource allocation', 'fairness allocation equilibrium', 'allocation shared clusters', 'fairness equilibrium allocation', 'efficiency fairness allocation', 'equilibrium allocation envy', 'resource sharing clusters', 'decentralized scheduling games']"
"['optimal competitive auction', 'optimal auction items', 'optimal auctions', 'competitive generalized auctions', 'optimal auction', 'auctions optimal auction', 'extended optimal auctions', 'auctions optimal', 'auction optimal', 'small optimal auction']"
"['auctions robust solution', 'auctions robust solutions', 'solutions robust auctions', 'robust auctions', 'auctions robust', 'optimal solutions auctions', 'solutions combinatorial auctions', 'solver combinatorial auctions', 'robustness various auction', 'solution combinatorial auction']"
"['coalitional game representation', 'coalitional games representation', 'algorithms coalitional games', 'abstraction coalitional games', 'agents coalitional games', 'arbitrary coalitional game', 'agents coalitional game', 'coalitional games assign', 'representing coalitional games', 'computations representation games']"
"['truthful mechanism allocation', 'binary optimization demand', 'binary demand games', 'binary demand game', 'truthful mechanism scheduling', 'games binary demand', 'optimization demand game', 'truthful mechanisms scheduling', 'binary optimization', 'demand game allocation']"
"['costs job scheduling', 'cost fairness axiom', 'jobs shapley value', 'job allocation rule', 'serveral axioms fairness', 'equitable cost allocations', 'sharing job scheduling', 'job shapley value', 'cost fairness', 'job allocation']"
"['decentralized mechanisms', 'mechanisms decentralized', 'incentive techniques peer', 'algorithms selfish agents', 'agents decentralized mechanisms', 'incentive compatible mechanisms', 'mechanism peer', 'decentralized incentive', 'decentralized mechanism', 'mechanism peer peer']"
"['exchange iterative bidders', 'iterative combinatorial auctions', 'bid combinatorial exchanges', 'iterative bidders', 'iterative auctions', 'practical combinatorial auction', 'combinatorial auction design', 'combinatorial auctions', 'combinatorial auction', 'auction practical combinatorial']"
"['weak monotonicity truthfulness', 'monotonicity suffices truthfulness', 'monotonicity truthful', 'monotonicity truthful paper', 'monotonicity truthfulness', 'monotonicity sufficient functions', 'monotonicity truthfulness examples', 'choice functions restricting', 'truthfulness convex domains', 'suffices convex domains']"
"['negotiation based mechanisms', 'incentive compatible negotiationrange', 'mechanisms based negotiation', 'negotiationrange mechanisms', 'negotiation range mechanisms', 'develop negotiationrange mechanisms', 'utility based negotiation', 'auction mechanism', 'auction mechanism buyer', 'heterogeneous negotiation']"
"['gratification privacy economics', 'privacy attitudes behavior', 'commerce privacy preferences', 'privacy economics', 'privacy attitudes', 'electronic commerce privacy', 'rational privacy behavior', 'model privacy attitudes', 'economic theory privacy', 'privacy psychological distortions']"
"['donation matching offers', 'donation matching', 'expressive negotiation donations', 'match donation matching', 'charity donate negotiation', 'negotiation donations charities', 'charities expressive bidding', 'donation negotiating', 'donation negotiating material', 'negotiation donations']"
"['online scheduling', 'considered online scheduling', 'real time scheduling', 'scheduling algorithm', 'algorithm scheduling jobs', 'scheduling', 'problem online scheduling', 'agent incentive delay', 'online scheduling jobs', 'incentive compatible agents']"
"['incentives p2p systems', 'incentive techniques peer', 'incentives p2p', 'peer peer incentive', 'peer incentive', 'incentives sharing peer', 'identity p2p systems', 'identities p2p systems', 'peer p2p systems', 'challenges p2p']"
"['interoperability diffusion', 'compatibility diffusion technologies', 'interoperability diffusion models', 'compatibility interoperability diffusion', 'diffusion technologies', 'diffusion model technologies', 'diffusion social networks', 'competing technologies', 'competing technologies example', 'technologies social networks']"
"['mechanisms combinatorial auction', 'preference aggregation mechanisms', 'designing optimal auctions', 'combinatorial auction design', 'preference aggregation mechanism', 'optimal auction design', 'outcomes preferences agent', 'optimal auctions combinatorial', 'consider combinatorial auction', 'setting optimal auction']"
"['market dpm mechanism', 'mechanism dpm market', 'continuous double auction', 'markets pari mutuel', 'pari mutuel markets', 'markets pari', 'mutuel market hedging', 'mutuel market ability', 'new market mechanism', 'mutuel market traders']"
"['elicitation combinatorial auction', 'algorithm combinatorial auctions', 'auctions problem learning', 'auction protocols learning', 'class combinatorial auction', 'combinatorial auctions theory', 'complexity combinatorial auctions', 'programming combinatorial auction', 'combinatorial auctions', 'mechanism combinatorial auctions']"
"['online trading algorithms', 'trading algorithms', 'trading online algorithms', 'algorithms stock trading', 'trading algorithm', 'vwap trading algorithms', 'theoretical online trading', 'trading algorithms varieties', 'algorithm trading', 'algorithm way trading']"
"['cheating auctions', 'auctions type cheating', 'auctions cheating', 'auction cheating', 'cheating auctions results', 'auction possibility cheating', 'auction cheating agents', 'cheating price auction', 'cheating auctions section', 'topic cheating auctions']"
"['connection game graphs', 'graphs strong equilibrium', 'equilibrium congestion games', 'symmetric connection game', 'strong equilibrium games', 'games strong equilibrium', 'graph strong equilibrium', 'equilibrium congestion game', 'strong equilibrium graph', 'network congestion games']"
"['information equilibrium price', 'markets computation distributed', 'market computation distributed', 'equilibrium information distributed', 'information equilibrium', 'markets computation', 'market mechanism security', 'equilibrium price security', 'market computation', 'information market trading']"
